Name,Given Name,Additional Name,Family Name,Yomi Name,Given Name Yomi,Additional Name Yomi,Family Name Yomi,Name Prefix,Name Suffix,Initials,Nickname,Short Name,Maiden Name,Birthday,Gender,Location,Billing Information,Directory Server,Mileage,Occupation,Hobby,Sensitivity,Priority,Subject,Notes,Language,Photo,Group Membership,E-mail 1 - Type,E-mail 1 - Value,Phone 1 - Type,Phone 1 - Value,Organization 1 - Type,Organization 1 - Name,Organization 1 - Yomi Name,Organization 1 - Title,Organization 1 - Department,Organization 1 - Symbol,Organization 1 - Location,Organization 1 - Job Description
Dummy Boo,Dummy,1,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,2,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,3,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,4,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,5,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,6,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,7,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,8,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,9,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,10,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,11,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,12,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,13,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,14,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,15,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,16,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,17,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,18,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,19,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,20,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,21,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,22,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,23,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,24,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,25,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,26,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,27,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,28,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,29,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,30,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,31,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,32,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,33,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,34,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,35,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,36,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,37,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,38,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,39,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,40,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,41,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,42,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,43,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,44,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,45,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,46,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,47,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,48,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,49,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,50,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,51,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,52,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,53,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,54,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,55,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,56,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,57,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,58,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,59,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,60,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,61,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,62,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,63,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,64,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,65,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,66,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,67,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,68,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,69,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,70,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,71,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,72,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
Dummy Boo,Dummy,73,Boo,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,nope@what.meh,,000 111 2222,,Spoke Phone,,Monkey,,,,
